Experiment Number,Keypress,Primed With,Appeared First,Order,Time
2,Right (P),control group,blue,"{'right': 'yellow', 'left': 'blue'}",10
2,Right (P),control group,yellow,"{'right': 'blue', 'left': 'yellow'}",10
2,Right (P),control group,blue,"{'right': 'yellow', 'left': 'blue'}",10
2,Left (Q),control group,blue,"{'right': 'yellow', 'left': 'blue'}",10
2,Left (Q),control group,yellow,"{'right': 'blue', 'left': 'yellow'}",120
2,Right (P),control group,blue,"{'right': 'yellow', 'left': 'blue'}",300
