Experiment 1,Keypress: Left (Q),"Primed With: (255, 255, 0)","Appeared First: (0, 0, 255)","Order: {'right': (255, 255, 0), 'left': (0, 0, 255)}",Time: 0
Experiment 1,Keypress: Right (P),"Primed With: (255, 215, 0)","Appeared First: (150, 75, 0)","Order: {'left': (255, 215, 0), 'right': (150, 75, 0)}",Time: 0
Experiment 1,Keypress: Right (P),"Primed With: (0, 255, 0)","Appeared First: (150, 75, 0)","Order: {'left': (0, 255, 0), 'right': (150, 75, 0)}",Time: 120
Experiment 1,Keypress: Right (P),"Primed With: (255, 215, 0)","Appeared First: (0, 0, 255)","Order: {'left': (255, 215, 0), 'right': (0, 0, 255)}",Time: 300
Experiment 1,Keypress: Left (Q),"Primed With: (255, 0, 0)","Appeared First: (0, 0, 255)","Order: {'right': (0, 0, 255), 'left': (255, 0, 0)}",Time: 0
Experiment 1,Keypress: Left (Q),"Primed With: (255, 215, 0)","Appeared First: (255, 20, 147)","Order: {'right': (255, 215, 0), 'left': (255, 20, 147)}",Time: 0
Experiment 1,Keypress: Right (P),"Primed With: (255, 215, 0)","Appeared First: (255, 20, 147)","Order: {'right': (255, 215, 0), 'left': (255, 20, 147)}",Time: 0
Experiment 1,Keypress: Right (P),"Primed With: (255, 215, 0)","Appeared First: (128, 0, 128)","Order: {'right': (255, 215, 0), 'left': (128, 0, 128)}",Time: 0
Experiment 1,Keypress: Left (Q),"Primed With: (0, 255, 0)","Appeared First: (255, 20, 147)","Order: {'right': (255, 20, 147), 'left': (0, 255, 0)}",Time: 120
Experiment 1,Keypress: Left (Q),"Primed With: (255, 215, 0)","Appeared First: (150, 75, 0)","Order: {'right': (255, 215, 0), 'left': (150, 75, 0)}",Time: 300
Experiment 2,Keypress: Right (P),Primed With: mnm_yellow,"Appeared First: (0, 0, 255)","Order: {'left': 'blue', 'right': 'yellow'}",Time: 0
Experiment 2,Keypress: Right (P),Primed With: rawabi_orange,"Appeared First: (0, 255, 0)","Order: {'left': 'green', 'right': 'orange'}",Time: 0
Experiment 2,Keypress: Right (P),Primed With: ahoy_blue,"Appeared First: (255, 0, 0)","Order: {'left': 'red', 'right': 'blue'}",Time: 0
Experiment 2,Keypress: Right (P),Primed With: ahoy_blue,"Appeared First: (255, 0, 0)","Order: {'left': 'red', 'right': 'blue'}",Time: 120
Experiment 2,Keypress: Left (Q),Primed With: barakat_green,"Appeared First: (255, 215, 0)","Order: {'left': 'orange', 'right': 'green'}",Time: 300
Experiment 2,Keypress: ,Primed With: barakat_green,"Appeared First: (255, 215, 0)","Order: {'left': 'orange', 'right': 'green'}",Time: 0
1,Right (P),"(255, 215, 0)","(0, 0, 255)","{'right': (255, 215, 0), 'left': (0, 0, 255)}",0
1,Left (Q),"(255, 215, 0)","(150, 75, 0)","{'right': (255, 215, 0), 'left': (150, 75, 0)}",0
1,Left (Q),"(255, 255, 0)","(150, 75, 0)","{'left': (255, 255, 0), 'right': (150, 75, 0)}",0
Experiment 1,Keypress: Left (Q),"Primed With: (255, 0, 0)","Appeared First: (0, 0, 255)","Order: {'right': (255, 0, 0), 'left': (0, 0, 255)}",Time: 0
Experiment 1,Keypress: Left (Q),"Primed With: (0, 255, 0)","Appeared First: (255, 20, 147)","Order: {'left': (0, 255, 0), 'right': (255, 20, 147)}",Time: 0
Experiment 1,Keypress: Right (P),"Primed With: (0, 255, 0)","Appeared First: (255, 20, 147)","Order: {'right': (0, 255, 0), 'left': (255, 20, 147)}",Time: 0
Experiment 1,Keypress: Left (Q),"Primed With: (255, 255, 0)","Appeared First: (150, 75, 0)","Order: {'left': (255, 255, 0), 'right': (150, 75, 0)}",Time: 0
Experiment 1,Keypress: Right (P),"Primed With: (0, 255, 0)","Appeared First: (150, 75, 0)","Order: {'left': (0, 255, 0), 'right': (150, 75, 0)}",Time: 120
Experiment 1,Keypress: Right (P),"Primed With: (255, 255, 0)","Appeared First: (0, 0, 255)","Order: {'left': (255, 255, 0), 'right': (0, 0, 255)}",Time: 300
Experiment 2,Keypress: Right (P),Primed With: mnm_yellow,"Appeared First: (0, 0, 255)","Order: {'left': 'blue', 'right': 'yellow'}",Time: 0
Experiment 2,Keypress: Left (Q),Primed With: pool_purple,"Appeared First: (0, 0, 0)","Order: {'left': 'black', 'right': 'purple'}",Time: 0
Experiment 2,Keypress: Right (P),Primed With: barakat_green,"Appeared First: (255, 215, 0)","Order: {'left': 'orange', 'right': 'green'}",Time: 0
Experiment 2,Keypress: Right (P),Primed With: hello_red,"Appeared First: (0, 0, 255)","Order: {'left': 'blue', 'right': 'red'}",Time: 0
Experiment 2,Keypress: Right (P),Primed With: americana_red,"Appeared First: (0, 0, 255)","Order: {'left': 'blue', 'right': 'red'}",Time: 0
Experiment 2,Keypress: Right (P),Primed With: mnm_blue,"Appeared First: (255, 255, 0)","Order: {'left': 'yellow', 'right': 'blue'}",Time: 120
Experiment 2,Keypress: Left (Q),Primed With: rawabi_orange,"Appeared First: (0, 255, 0)","Order: {'left': 'green', 'right': 'orange'}",Time: 300
Experiment 2,Keypress: Right (P),Primed With: mnm_blue,"Appeared First: (255, 255, 0)","Order: {'left': 'yellow', 'right': 'blue'}",Time: 10
Experiment 2,Keypress: Left (Q),Primed With: mnm_blue,"Appeared First: (255, 255, 0)","Order: {'left': 'yellow', 'right': 'blue'}",Time: 10
Experiment 2,Keypress: Left (Q),Primed With: barakat_green,"Appeared First: (255, 215, 0)","Order: {'left': 'orange', 'right': 'green'}",Time: 10
Experiment 2,Keypress: Left (Q),Primed With: barakat_green,"Appeared First: (255, 215, 0)","Order: {'left': 'orange', 'right': 'green'}",Time: 120
Experiment 2,Keypress: Right (P),Primed With: mnm_blue,"Appeared First: (255, 255, 0)","Order: {'left': 'yellow', 'right': 'blue'}",Time: 300
Experiment 2,Keypress: Right (P),Primed With: skittles_red,"Appeared First: (0, 255, 0)","Order: {'right': 'red', 'left': 'green'}",Time: 0
Experiment 2,Keypress: Left (Q),Primed With: ahoy_blue,"Appeared First: (255, 0, 0)","Order: {'right': 'blue', 'left': 'red'}",Time: 0
Experiment 2,Keypress: Left (Q),Primed With: barakat_green,"Appeared First: (255, 215, 0)","Order: {'right': 'green', 'left': 'orange'}",Time: 120
Experiment 2,Keypress: Left (Q),Primed With: skittles_red,"Appeared First: (0, 255, 0)","Order: {'right': 'red', 'left': 'green'}",Time: 300
2,Right (P),skittles_red,green,"{'left': 'green', 'right': 'red'}",10
2,Left (Q),mnm_blue,yellow,"{'left': 'yellow', 'right': 'blue'}",10
2,Left (Q),mnm_blue,yellow,"{'left': 'yellow', 'right': 'blue'}",10
Experiment 2,Keypress: Right (P),Primed With: hello_red,"Appeared First: (0, 0, 255)","Order: {'left': 'blue', 'right': 'red'}",Time: 0
Experiment 2,Keypress: Right (P),Primed With: pool_black,"Appeared First: (128, 0, 128)","Order: {'left': 'purple', 'right': 'black'}",Time: 0
Experiment 2,Keypress: Left (Q),Primed With: pool_purple,"Appeared First: (0, 0, 0)","Order: {'left': 'black', 'right': 'purple'}",Time: 0
Experiment 2,Keypress: Left (Q),Primed With: barakat_green,"Appeared First: (255, 215, 0)","Order: {'left': 'orange', 'right': 'green'}",Time: 120
Experiment 2,Keypress: Right (P),Primed With: mnm_blue,"Appeared First: (255, 255, 0)","Order: {'left': 'yellow', 'right': 'blue'}",Time: 300
Experiment 2,Keypress: Left (Q),Primed With: pool_purple,"Appeared First: (0, 0, 0)","Order: {'left': 'black', 'right': 'purple'}",Time: 0
Experiment 2,Keypress: Right (P),Primed With: barakat_green,"Appeared First: (255, 215, 0)","Order: {'left': 'orange', 'right': 'green'}",Time: 0
Experiment 2,Keypress: Right (P),Primed With: barakat_green,"Appeared First: (255, 215, 0)","Order: {'left': 'orange', 'right': 'green'}",Time: 0
Experiment 2,Keypress: ,Primed With: rawabi_orange,"Appeared First: (0, 255, 0)","Order: {'left': 'green', 'right': 'orange'}",Time: 0
Experiment 2,Keypress: Right (P),Primed With: mnm_blue,"Appeared First: (255, 255, 0)","Order: {'left': 'yellow', 'right': 'blue'}",Time: 120
Experiment 2,Keypress: Left (Q),Primed With: mnm_blue,"Appeared First: (255, 255, 0)","Order: {'left': 'yellow', 'right': 'blue'}",Time: 300
Experiment 2,Keypress: Right (P),Primed With: mnm_blue,"Appeared First: (255, 255, 0)","Order: {'left': 'yellow', 'right': 'blue'}",Time: 20
Experiment 2,Keypress: Left (Q),Primed With: barakat_green,"Appeared First: (255, 215, 0)","Order: {'left': 'orange', 'right': 'green'}",Time: 0
Experiment 2,Keypress: Right (P),Primed With: rawabi_orange,"Appeared First: (0, 255, 0)","Order: {'left': 'green', 'right': 'orange'}",Time: 0
Experiment 2,Keypress: Right (P),Primed With: mnm_blue,"Appeared First: (255, 255, 0)","Order: {'left': 'yellow', 'right': 'blue'}",Time: 0
Experiment 2,Keypress: Left (Q),Primed With: mnm_blue,"Appeared First: (255, 255, 0)","Order: {'left': 'yellow', 'right': 'blue'}",Time: 120
Experiment 2,Keypress: Right (P),Primed With: skittles_green,"Appeared First: (255, 0, 0)","Order: {'left': 'red', 'right': 'green'}",Time: 300
Experiment 2,Keypress: Right (P),Primed With: skittles_green,"Appeared First: (255, 0, 0)","Order: {'right': 'green', 'left': 'red'}",Time: 0
Experiment 2,Keypress: Left (Q),Primed With: ahoy_blue,"Appeared First: (255, 0, 0)","Order: {'right': 'blue', 'left': 'red'}",Time: 0
Experiment 2,Keypress: Left (Q),Primed With: rawabi_orange,"Appeared First: (0, 255, 0)","Order: {'right': 'orange', 'left': 'green'}",Time: 120
Experiment 2,Keypress: Left (Q),Primed With: skittles_red,"Appeared First: (0, 255, 0)","Order: {'right': 'red', 'left': 'green'}",Time: 300
2,Left (Q),mnm_blue,yellow,"{'right': 'blue', 'left': 'yellow'}",10
2,Right (P),mnm_yellow,blue,"{'right': 'yellow', 'left': 'blue'}",10
2,Left (Q),mnm_yellow,blue,"{'right': 'yellow', 'left': 'blue'}",10
2,Left (Q),mnm_yellow,blue,"{'right': 'yellow', 'left': 'blue'}",10
2,Right (P),skittles_red,green,"{'right': 'red', 'left': 'green'}",10
2,Left (Q),mnm_yellow,blue,"{'right': 'yellow', 'left': 'blue'}",10
2,Left (Q),mnm_blue,yellow,"{'right': 'blue', 'left': 'yellow'}",10
Experiment 2,Keypress: Right (P),Primed With: skittles_red,"Appeared First: (0, 255, 0)","Order: {'left': 'green', 'right': 'red'}",Time: 0
Experiment 2,Keypress: Right (P),Primed With: mnm_blue,"Appeared First: (255, 255, 0)","Order: {'left': 'yellow', 'right': 'blue'}",Time: 0
Experiment 2,Keypress: Right (P),Primed With: mnm_blue,"Appeared First: (255, 255, 0)","Order: {'left': 'yellow', 'right': 'blue'}",Time: 0
Experiment 2,Keypress: Left (Q),Primed With: pool_black,"Appeared First: (128, 0, 128)","Order: {'left': 'purple', 'right': 'black'}",Time: 120
Experiment 2,Keypress: Right (P),Primed With: pool_purple,"Appeared First: (0, 0, 0)","Order: {'left': 'black', 'right': 'purple'}",Time: 300
2,Right (P),skittles_red,green,"{'left': 'green', 'right': 'red'}",10
